Codigo,Nombre,DRE,Sis Hidro,CUENCA,RIO,DPTO,PROV,DISTRITO,LONG,LAT,ALT,INICIO,ENT,Q
231302,FLOR DE PUNGA,8,RIO UCAYALI,UCAYALI,UCAYALI,LORETO,REQUENA,CAPELO,74.15838889,5.405444444,135,1963,1SENAMHI,NIV
260201,LA LIBERTAD,8,RIO ALTO         ,NAPO,MAZAN,LORETO,MAYNAS,MAZAN,73.24055556,3.4625,100,1985,1SENAMHI,NIV
221401,NAUTA,8,RIO MARANON,BAJO MARANON,MARANON,LORETO,LORETO,NAUTA,73.57172222,4.639805556,110,1963,1SENAMHI,NIV
250101,REQUENA,8,RIO MADRE DE DIOS,UCAYALI,UCAYALI,LORETO,REQUENA,REQUENA,73.53333333,5.083333333,200,1984,1SENAMHI,NIV
220111,SAN LORENZO,8,RIO MARANON,BAJO MARANON,MARANON,LORETO,ALTO AMAZONAS,BARRANCA,76.55,4.816666667,150,1998,1SENAMHI,NIV
220105,SAN REGIS,8,RIO MARANON,BAJO MARANON,MARANON,LORETO,LORETO,NAUTA,74.2,4.6,80,1963,1SENAMHI,NIV
260101,SANTA CLOTILDE,8,RIO AMAZONAS,NAPO,NAPO,LORETO,MAYNAS,NAPO,73.67922222,2.487472222,150,2000,1SENAMHI,NIV
240109,SANTA CRUZ,8,RIO AMAZONAS,NAPO,MAZAN,LORETO,MAYNAS,MAZAN,73.13361111,3.500277778,122,1991,1SENAMHI,NIV
240110,SANTA MARIA DE NANAY,8,RIO AMAZONAS,NANAY,NANAY,LORETO,MAYNAS,ALTO NANAY,73.66694444,3.083611111,100,1998,1SENAMHI,NIV
240108,SANTA ROSA,8,RIO AMAZONAS,AMAZONAS,AMAZONAS,LORETO,R. CASTILLA,YAVARI,69.95,4.25,100,1995,1SENAMHI,NIV
240102,TAMSHIYACU,8,RIO AMAZONAS,AMAZONAS,AMAZONAS,LORETO,MAYNAS,F. LORES,72.28333333,3.433333333,105,1983,1SENAMHI,NIV
240202,TIMICURILLO II,8,RIO AMAZONAS,AMAZONAS,AMAZONAS,LORETO,MAYNAS,INDIANA,73.08361111,3.516944444,105,1991,1SENAMHI,NIV
240101,MUELLE IQUITOS,8,RIO AMAZONAS,AMAZONAS,AMAZONAS,LORETO,MAYNAS,IQUITOS,73.23694444,3.727222222,126,1988,CONVENIO,NIV
240301,SANTA MERCEDES,8,RIO AMAZONAS,PUTUMAYO,PUTUMAYO,LORETO,MAYNAS,PUTUMAYO,73.5,1.583333333,140,1996,CONVENIO,NIV
240105,SEDA LORETO,8,RIO AMAZONAS,AMAZONAS,NANAY,LORETO,MAYNAS,IQUITOS,73.23333333,3.733333333,100,1988,CONVENIO,NIV
220104,TROMPETEROS,8,RIO MARANON,TIGRE,CORRIENTES,LORETO,LORETO,TROMPETEROS,75.05694444,3.805277778,142.5,1985,CONVENIO,NIV
